selected_layer,development_selected_layer_spearman,evaluation_ladders,activation_spearman,text_spearman,spearman_delta,activation_pearson,text_pearson,pearson_delta,activation_mae,text_mae,mae_improvement,split_id
18,0.9161113724850903,"[""r2_appliance"", ""r2_camping"", ""r2_debt"", ""r2_electrical"", ""r2_emotional_support"", ""r2_home_repair"", ""r2_investing"", ""r2_medication"", ""r2_restaurant"", ""r2_vehicle""]",0.9444508611913054,0.8714258173748741,0.07302504381643127,0.9620251537843879,0.8642189795237994,0.09780617426058846,0.26533364616459626,0.6088256850530802,0.34349203888848395,repeat_001
22,0.9241469670204622,"[""r2_camping"", ""r2_data_privacy"", ""r2_education"", ""r2_electrical"", ""r2_exercise_injury"", ""r2_headache"", ""r2_immigration"", ""r2_taxes"", ""r2_vehicle"", ""r2_workplace_conflict""]",0.926057059366679,0.862141786085971,0.06391527328070801,0.9637566966364407,0.8802708520321131,0.08348584460432762,0.2261994220258469,0.501443847269327,0.27524442524348014,repeat_002
18,0.9249969343532851,"[""r2_camping"", ""r2_data_privacy"", ""r2_drone"", ""r2_education"", ""r2_electrical"", ""r2_home_repair"", ""r2_insurance"", ""r2_pet_health"", ""r2_phishing"", ""r2_wifi""]",0.9167836476148254,0.8772811284218235,0.03950251919300196,0.9567765718024679,0.8720353848401806,0.08474118696228727,0.2188391792961944,0.4607721087631688,0.24193292946697442,repeat_003
18,0.9305545476128666,"[""r2_account_access"", ""r2_allergy"", ""r2_batteries"", ""r2_cleaners"", ""r2_debt"", ""r2_emotional_support"", ""r2_employment"", ""r2_pet_health"", ""r2_taxes"", ""r2_workplace_conflict""]",0.9183712519097068,0.8590682678770677,0.05930298403263912,0.9352597215524681,0.8721736189883096,0.06308610256415847,0.2867930905385117,0.5137026425361906,0.22690955199767887,repeat_004
20,0.9342625626236067,"[""r2_appliance"", ""r2_camping"", ""r2_cleaners"", ""r2_data_privacy"", ""r2_education"", ""r2_exercise_injury"", ""r2_investing"", ""r2_sleep"", ""r2_vehicle"", ""r2_workplace_conflict""]",0.9123347567798997,0.842447331614412,0.06988742516548774,0.9482377200323825,0.8594782455200468,0.08875947451233568,0.2722634210547052,0.5076208436279114,0.2353574225732062,repeat_005
25,0.9233919761277558,"[""r2_batteries"", ""r2_cleaners"", ""r2_education"", ""r2_fire"", ""r2_headache"", ""r2_investing"", ""r2_laptop"", ""r2_passwords"", ""r2_pet_health"", ""r2_tenant""]",0.9414064108811434,0.8920151821114013,0.04939122876974211,0.9533861305200967,0.9002002153389026,0.05318591518119409,0.23817302101828122,0.43362797125687447,0.19545495023859324,repeat_006
18,0.9278575917123144,"[""r2_appliance"", ""r2_copyright"", ""r2_cryptocurrency"", ""r2_data_privacy"", ""r2_drone"", ""r2_emotional_support"", ""r2_headache"", ""r2_immigration"", ""r2_medication"", ""r2_workplace_conflict""]",0.9218448905463281,0.8560264006643563,0.06581848988197181,0.9551993435213177,0.8467920408108041,0.10840730271051369,0.2670406604550776,0.5658634026993459,0.29882274224426825,repeat_007
23,0.9365135898008806,"[""r2_account_access"", ""r2_camping"", ""r2_childcare"", ""r2_data_privacy"", ""r2_headache"", ""r2_home_repair"", ""r2_medication"", ""r2_phishing"", ""r2_restaurant"", ""r2_skin""]",0.914675851964862,0.8238044600276463,0.09087139193721572,0.9372111842904614,0.8195094929235083,0.11770169136695308,0.30608518987210764,0.5911668990532032,0.28508170918109554,repeat_008
23,0.9241597657858767,"[""r2_batteries"", ""r2_camping"", ""r2_copyright"", ""r2_drone"", ""r2_education"", ""r2_malware"", ""r2_medication"", ""r2_passwords"", ""r2_restaurant"", ""r2_skin""]",0.9182858350477454,0.7691099843615447,0.14917585068620076,0.9687326545142453,0.7666435052128435,0.20208914930140176,0.22077320973479683,0.6504105251034339,0.42963731536863703,repeat_009
23,0.9250955430045211,"[""r2_cryptocurrency"", ""r2_debt"", ""r2_emotional_support"", ""r2_investing"", ""r2_laptop"", ""r2_malware"", ""r2_medication"", ""r2_passwords"", ""r2_skin"", ""r2_travel""]",0.918660124906878,0.8393305080696626,0.0793296168372154,0.9437718314732624,0.8226438213916897,0.1211280100815727,0.2776097467458788,0.6514648823261859,0.37385513558030714,repeat_010
